play,line n,text,Ground truth,same syllabification?,Correct,difference,Notes
Hekabe,1,ἥκω νεκρῶν κευθμῶνα καὶ σκότου πύλας,ἥ κω νε κρῶν κευ θμῶ να καὶσ κό του πύ λας,False,AC,καὶσ κό,division need between σ (ς) and ensuing letter
Hekabe,2,"λιπών, ἵνʼ ἅιδης χωρὶς ᾤκισται θεῶν,","λι πώ ν,ἵ νʼἅι δης χω ρὶ ςᾤ κισ ται θε ῶν,",False,AC,κισ τα,"division need between σ (ς) and ensuing letter; There is also this bizarre doubling of the capital letter, which recurs repeatedly"
Hekabe,3,"Πολύδωρος, ἑκάβης παῖς γεγὼς τῆς κισσέως","Πο λύ δω ρο ς,ἑ κά βης παῖς γε γὼς τῆς κισ σέ ως",False,Ours,"ρο ς,ἑ","final letter of word needs to start 1st styllable of next word, which begins with a vowel"
Hekabe,4,"πριάμου τε πατρός, ὅς μʼ, ἐπεὶ φρυγῶν πόλιν","πρι ά μου τε πα τρό ς,ὅς μʼ,ἐ πεὶ φρυ γῶν πό λιν",False,Ours,"ς,ὅς μʼ,ἐ",word division
Hekabe,5,"κίνδυνος ἔσχε δορὶ πεσεῖν ἑλληνικῷ,","κίν δυ νο ςἔσ χε δο ρὶ πε σεῖ νἑλ λη νι κῷ,",False,AC,ςἔσ χε,division need between σ (ς) and ensuing letter
Hekabe,6,δείσας ὑπεξέπεμψε τρωικῆς χθονὸς,δεί σα ςὑ πε ξέ πεμ ψε τρω ι κῆςχ θο νὸς,False,AC,τρωι κῆςχ ,iota (ι) divided from syllable to which it belongs
Hekabe,7,"πολυμήστορος πρὸς δῶμα θρῃκίου ξένου,","πο λυ μήσ το ρος πρὸς δῶ μα θρῃ κί ου ξέ νου,",False,AC,ρίσ την,division need between σ (ς) and ensuing letter
Hekabe,9,"σπείρει, φίλιππον λαὸν εὐθύνων δορί.","σπεί ρει, φί λιπ πον λα ὸ νεὐ θύ νων δο ρί.",True,,,
Hekabe,10,πολὺν δὲ σὺν ἐμοὶ χρυσὸν ἐκπέμπει λάθρᾳ,πο λὺν δὲ σὺ νἐ μοὶ χρυ σὸ νἐκ πέμ πει λά θρᾳ,True,,,
Hekabe,11,"πατήρ, ἵνʼ, εἴ ποτʼ ἰλίου τείχη πέσοι,","πα τή ρ,ἵ νʼ,εἴ πο τʼἰ λί ου τεί χη πέ σοι,",False,Ours,"ρ,ἵ νʼ,ε",word division
Hekabe,12,τοῖς ζῶσιν εἴη παισὶ μὴ σπάνις βίου.,τοῖς ζῶ σι νεἴ η παι σὶ μὴσ πά νις βί ου.,False,AC,μὴσ πά,division need between σ (ς) and ensuing letter
Hekabe,13,"νεώτατος δʼ ἦ Πριαμιδῶν, ὃ καί με γῆς","νε ώ τα τος δʼἦ Πρι α μι δῶ ν,ὃ καί με γῆς",False,Ours,"δῶ ν,ὃ ","word division; There is also this bizarre doubling of the capital letter, which recurs repeatedly"
